time_sec,cell_id,prb_util_pct,ue_count,load_variance,avg_dl_throughput_bps,cdr
15,4,96.4286,3,1.56185,19353.6,0
15,5,96.4286,3,1.56185,19353.6,0
15,6,96.4286,3,1.56185,19353.6,0
15,7,96.4286,3,1.56185,19353.6,0
15,8,100,2,1.56185,19353.6,0
16,2,100,2,1.56185,20032,0
16,3,96.4286,3,1.56185,20032,0
16,4,96.4286,3,1.56185,20032,0
16,5,96.4286,3,1.56185,20032,0
16,6,96.4286,3,1.56185,20032,0
16,7,96.4286,3,1.56185,20032,0
16,8,96.4286,3,1.56185,20032,0
17,2,100,2,1.56185,19648,0
17,3,96.4286,3,1.56185,19648,0
17,4,96.4286,3,1.56185,19648,0
17,5,96.4286,3,1.56185,19648,0
17,6,96.4286,3,1.56185,19648,0
17,7,96.4286,3,1.56185,19648,0
17,8,96.4286,3,1.56185,19648,0
18,2,96.4286,3,1.56185,19008,0
18,3,96.4286,3,1.56185,19008,0
18,4,96.4286,3,1.56185,19008,0
18,5,96.4286,3,1.56185,19008,0
18,6,96.4286,3,1.56185,19008,0
18,7,100,2,1.56185,19008,0
18,8,96.4286,3,1.56185,19008,0
19,2,96.4286,3,1.56185,20160,0
19,3,96.4286,3,1.56185,20160,0
19,4,96.4286,3,1.56185,20160,0
19,5,96.4286,3,1.56185,20160,0
19,6,96.4286,3,1.56185,20160,0
19,7,96.4286,3,1.56185,20160,0
19,8,100,2,1.56185,20160,0
20,2,96.4286,3,1.56185,19584,0
20,3,96.4286,3,1.56185,19584,0
20,4,96.4286,3,1.56185,19584,0
20,5,96.4286,3,1.56185,19584,0
20,6,96.4286,3,1.56185,19584,0
20,7,96.4286,3,1.56185,19584,0
20,8,100,2,1.56185,19584,0
21,2,96.4286,3,1.56185,19776,0
21,3,96.4286,3,1.56185,19776,0
21,4,96.4286,3,1.56185,19776,0
21,5,96.4286,3,1.56185,19776,0
21,6,96.4286,3,1.56185,19776,0
21,7,100,2,1.56185,19776,0
21,8,96.4286,3,1.56185,19776,0
22,2,96.4286,3,1.56185,19968,0
22,3,96.4286,3,1.56185,19968,0
22,4,96.4286,3,1.56185,19968,0
22,5,96.4286,3,1.56185,19968,0
22,6,96.4286,3,1.56185,19968,0
22,7,96.4286,3,1.56185,19968,0
22,8,100,2,1.56185,19968,0
