Time,IMSI,Level,Qual,SNR,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,serving_cell,best_neigh_cell
0.85,12,-49.1663,0,46.0383,15,-63.8114,7.02482,-63.8114,0,45,49152,48800,20,5,6
0.85,13,-50.7727,0,28.9482,15,-65.2489,4.60935,-65.2489,0,22,0,117120,20,5,6
0.85,14,-42.5779,0,53.3961,15,-64.6139,5.67512,-64.6139,0,35,22528,25376,20,6,5
0.85,15,-62.3865,0,9.43916,7.0178,-67.6365,6.65321,-67.6365,0,120,0,39040,20,6,5
0.85,16,-51.8969,0,40.8157,15,-63.1567,19.3966,-63.1567,0,60,0,0,20,6,5
0.85,17,-55.9586,0,20.2269,11.9213,-61.7974,10.4121,-61.7974,0,20,0,0,20,7,8
0.85,18,-53.6703,0,24.0759,13.6709,-62.5894,9.08238,-62.5894,0,15,0,0,20,7,8
0.85,19,-51.0046,0,42.5707,15,-64.3229,6.17379,-64.3229,0,105,0,0,20,7,6
0.85,20,-54.1747,0,36.4981,15,-62.7684,8.7831,-62.7684,0,25,0,0,20,8,3
0.9,2,-48.1659,0,33.3468,15,-63.814,7.02041,-63.814,0,30,190464,183488,20,2,8
0.9,3,-55.9836,0,20.191,11.905,-62.1836,10.4226,-62.1836,0,18,0,0,20,2,8
0.9,4,-57.603,0,17.4756,10.6707,-67.4193,0.959086,-67.4193,0,110,163840,160064,20,3,4
0.9,5,-54.2375,0,36.3948,15,-62.1391,9.83241,-62.1391,0,38,0,0,20,3,4
0.9,6,-39.5771,0,56.4473,15,-64.7843,5.38412,-64.7843,0,65,139264,134688,20,3,8
0.9,7,-53.5756,0,37.6415,15,-62.4357,9.34181,-62.4357,0,60,0,0,20,4,3
0.9,9,-49.2428,0,45.8743,15,-63.7099,15.5892,-63.7099,0,75,0,0,20,4,2
0.9,10,-56.1211,0,20.0002,11.8183,-62.3845,9.4117,-62.3845,0,135,88064,85888,20,4,3
0.9,1,-41.0668,0,54.8546,15,-64.6395,5.64008,-64.6395,0,55,0,0,20,5,4
0.9,8,-57.9716,0,16.8719,10.3963,-64.4128,6.0285,-64.4128,0,130,112640,111264,20,5,6
0.9,11,-37.4527,0,58.4869,15,-65.0585,4.92266,-65.0585,0,90,0,0,20,5,6
0.9,12,-49.1954,0,45.9848,15,-63.7673,7.09838,-63.7673,0,45,61440,62464,20,5,6
0.9,13,-50.8159,0,28.8763,15,-65.2171,4.66244,-65.2171,0,22,0,156160,20,5,6
0.9,14,-43.0492,0,52.9284,15,-64.5578,5.76871,-64.5578,0,35,36864,37088,20,6,5
0.9,15,-62.6229,0,9.04447,6.8384,-67.7549,6.48931,-67.7549,0,120,0,78080,20,6,5
0.9,16,-51.6372,0,41.3067,15,-63.2637,19.1943,-63.2637,0,60,10240,13664,20,6,5
0.9,17,-55.9432,0,20.2528,11.9331,-61.7802,10.4408,-61.7802,0,20,0,0,20,7,8
0.9,18,-53.6917,0,24.0404,13.6547,-62.5958,9.07173,-62.5958,0,15,0,0,20,7,8
0.9,19,-51.4754,0,41.6821,15,-64.4104,6.02817,-64.4104,0,105,0,0,20,7,6
0.9,20,-54.1877,0,36.4735,15,-62.7637,8.78605,-62.7637,0,25,0,0,20,8,2
0.95,2,-48.4075,0,32.9307,15,-63.7768,7.08451,-63.7768,0,30,202752,195200,20,2,8
0.95,3,-56.0466,0,32.9345,15,-62.1696,9.78615,-62.1696,0,18,0,0,20,2,6
0.95,4,-57.7548,0,17.215,10.5523,-67.3698,1.04436,-67.3698,0,110,176128,171776,20,3,4
0.95,5,-54.4251,0,36.0286,15,-62.057,18.1631,-62.057,0,38,0,0,20,3,2
0.95,6,-40.9424,0,55.0438,15,-64.6799,5.56378,-64.6799,0,65,151552,146400,20,3,8
0.95,7,-53.6176,0,24.165,13.7114,-62.4553,9.30821,-62.4553,0,60,0,0,20,4,3
0.95,9,-49.0819,0,46.1913,15,-63.6934,15.8071,-63.6934,0,75,0,0,20,4,2
0.95,10,-56.6659,0,19.0604,11.3911,-62.2035,9.72342,-62.2035,0,135,100352,97600,20,4,3
0.95,1,-40.3972,0,55.5427,15,-64.6923,5.54922,-64.6923,0,55,0,0,20,5,4
0.95,8,-58.3113,0,16.2869,10.1304,-64.5556,5.78271,-64.5556,0,130,124928,122976,20,5,6
0.95,11,-37.6104,0,58.3589,15,-64.9489,14.5546,-64.9489,0,90,0,0,20,5,4
0.95,12,-49.2418,0,31.5209,15,-63.7235,7.17381,-63.7235,0,45,73728,74176,20,5,6
0.95,13,-50.8616,0,42.8098,15,-65.1851,4.71741,-65.1851,0,22,0,195200,20,5,6
0.95,14,-43.5133,0,41.1665,15,-64.5013,5.86589,-64.5013,0,35,49152,48800,20,6,5
0.95,15,-62.293,0,9.5735,7.07886,-67.5194,0.78908,-67.5194,0,120.993,0,117120,20,6,7
0.95,16,-51.3812,0,27.9122,15,-63.3697,18.5341,-63.3697,0,60,22528,25376,20,6,2
0.95,17,-55.9284,0,20.2782,11.9446,-61.7631,10.4702,-61.7631,0,20,0,39040,20,7,8
0.95,18,-53.7136,0,37.3763,15,-62.6023,9.06058,-62.6023,0,15,0,0,20,7,8
0.95,19,-51.9545,0,26.9781,15,-64.4994,5.87491,-64.4994,0,105,0,0,20,7,6
0.95,20,-54.2026,0,36.4446,15,-62.727,8.84919,-62.727,0,25,0,0,20,8,2
1,2,-48.6458,0,32.5333,15,-63.7396,7.14659,-63.7396,0,30,215040,208864,20,2,8
1,3,-56.1092,0,32.8161,15,-62.1316,9.8494,-62.1316,0,18,0,0,20,2,6
1,4,-57.9172,0,16.9447,10.4294,-67.3217,1.12458,-67.3217,0,110,190464,183488,20,3,4
1,5,-54.6092,0,35.6806,15,-61.9742,18.1828,-61.9742,0,38,0,0,20,3,2
1,6,-42.1659,0,53.8263,15,-64.5743,5.73982,-64.5743,0,65,163840,160064,20,3,8
1,7,-53.6709,0,24.0766,13.6712,-62.4765,9.27295,-62.4765,0,60,0,0,20,4,3
1,9,-48.9665,0,46.4118,15,-63.6789,16.0205,-63.6789,0,75,0,0,20,4,2
1,10,-57.18,0,18.2018,11.0008,-62.0244,10.0221,-62.0244,0,135,112640,111264,20,4,3
1,1,-39.8216,0,56.1171,15,-64.7454,5.46076,-64.7454,0,55,0,0,20,5,4
1,8,-58.6459,0,15.7287,9.87667,-64.6989,5.54365,-64.6989,0,130,139264,134688,20,5,6
1,11,-38.5512,0,57.4424,15,-64.8388,14.5962,-64.8388,0,90,0,0,20,5,4
1,12,-49.3048,0,31.4166,15,-63.68,7.24636,-63.68,0,45,88064,85888,20,5,6
1,13,-50.9098,0,42.7189,15,-65.1531,4.77083,-65.1531,0,22,0,234240,20,5,6
1,14,-43.968,0,40.4078,15,-64.4445,5.9606,-64.4445,0,35,61440,62464,20,6,5
1,15,-62.1292,0,9.84672,7.20305,-67.3741,1.03127,-67.3741,0,120.993,0,156160,20,6,7
1,16,-51.1304,0,28.3308,15,-63.4746,18.5543,-63.4746,0,60,36864,37088,20,6,2
1,17,-55.9145,0,20.3015,11.9552,-61.7462,10.4984,-61.7462,0,20,0,78080,20,7,8
1,18,-53.7362,0,37.3337,15,-62.6089,9.04962,-62.6089,0,15,10240,13664,20,7,8
1,19,-52.4353,0,26.1764,15,-64.5901,5.72381,-64.5901,0,105,0,0,20,7,6
1,20,-54.2192,0,36.4134,15,-62.6903,8.91039,-62.6903,0,25,0,0,20,8,2
1.05,2,-48.8806,0,32.1416,15,-63.7024,7.20864,-63.7024,0,30,227328,220576,20,2,8
1.05,3,-56.1716,0,19.8741,11.761,-62.0936,9.91289,-62.0936,0,18,0,0,20,2,6
1.05,4,-58.089,0,16.6588,10.2994,-67.2752,1.20236,-67.2752,0,110,202752,195200,20,3,4
1.05,5,-54.7897,0,22.2049,12.8204,-61.8907,10.2509,-61.8907,0,38,0,0,20,3,4
1.05,6,-43.2659,0,52.731,15,-64.4674,5.91788,-64.4674,0,65,176128,171776,20,3,8
1.05,7,-53.7352,0,23.9701,13.6228,-62.4993,9.23506,-62.4993,0,60,0,0,20,4,3
1.05,9,-48.9004,0,32.0897,15,-63.6664,7.27081,-63.6664,0,75,0,0,20,4,3
1.05,10,-57.6667,0,29.8818,15,-61.8479,10.3166,-61.8479,0,135,124928,122976,20,4,3
1.05,1,-39.3931,0,56.5483,15,-64.7987,5.37189,-64.7987,0,55,0,0,20,5,4
1.05,8,-58.9748,0,27.3788,15,-64.8427,5.30399,-64.8427,0,130,151552,146400,20,5,6
1.05,11,-39.9035,0,56.1091,15,-64.7283,5.47914,-64.7283,0,90,0,0,20,5,6
1.05,12,-49.3838,0,31.2858,15,-63.6368,7.31838,-63.6368,0,45,100352,97600,20,5,6
