SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ,Event
2,11.5072,1,4,-81.3447,10,-95.3447,7,-91.3447,5,58.6553,-52.3447,65,0,0,100,0,-95.3447,SECONDARY_CHANGE
4,11.5072,3,4,-88.2035,16,-105.203,13,-98.2035,11,51.7965,-62.2035,60,0,0,100,0,-105.203,SECONDARY_CHANGE
10,11.5072,9,5,-95.4783,7,-108.478,7,-105.478,2,44.5217,-65.4783,60,0,0,100,0,-108.478,SECONDARY_CHANGE
7,11.6,15,4,-93.5241,14,-106.524,11,-103.524,9,46.4759,-63.5241,60,0.4,0,100,270,-106.524
8,11.7,16,6,-85.7919,14,-100.792,11,-95.7919,9,54.2081,-57.7919,65,0.296,0,100,270,-100.792
6,11.7072,5,5,-83.3846,10,-96.3846,7,-93.3846,5,56.6154,-53.3846,70,0,0,100,0,-96.3846,SECONDARY_CHANGE
8,11.7072,7,5,-87.5408,18,-104.541,13,-97.5408,13,52.4592,-61.5408,65,0,0,100,0,-104.541,SECONDARY_CHANGE
9,11.8,17,6,-105.769,9,-119.769,9,-115.769,4,34.2311,-76.7689,70,0.368,0,100,270,-119.769
10,11.9,18,5,-64.2353,24,-76.2353,15,-74.2353,19,75.7647,-33.2353,60,0.336,0,100,270,-76.2353
1,12,9,5,-115.771,11,-132.771,11,-125.771,6,24.2287,-89.7713,60,0.28,0,100,270,-132.771
2,12.1,10,4,-92.1238,9,-104.124,9,-102.124,4,47.8762,-61.1238,65,0.272,0,100,270,-104.124
1,12.1072,0,4,-91.0307,7,-103.031,7,-101.031,2,48.9693,-60.0307,60,0,0,100,0,-103.031,SECONDARY_CHANGE
3,12.2,11,4,-115.872,10,-128.872,9,-125.872,5,24.1278,-85.8722,70,0.408,0,100,270,-128.872
4,12.3,12,4,-93.6505,5,-106.651,7,-103.651,0,46.3495,-63.6505,60,0.352,0,100,270,-106.651
5,12.4,13,4,-97.2323,8,-111.232,9,-107.232,3,42.7677,-68.2323,65,0.408,0,100,90,-111.232
6,12.5,14,5,-96.2325,9,-110.232,9,-106.232,4,43.7675,-67.2325,70,0.392,0,100,270,-110.232
7,12.6,15,4,-112.707,6,-129.707,9,-122.707,1,27.2926,-86.7074,60,0.4,0,100,270,-129.707
8,12.7,16,5,-92.7107,7,-108.711,9,-102.711,2,47.2893,-65.7107,65,0.4,0,100,270,-108.711
9,12.8,17,6,-88.5668,14,-102.567,11,-98.5668,9,51.4332,-59.5668,70,0.384,0,100,270,-102.567
10,12.9,18,5,-96.6338,8,-113.634,9,-106.634,3,43.3662,-70.6338,60,0.392,0,100,270,-113.634
1,13,9,4,-90.6992,10,-102.699,9,-100.699,5,49.3008,-59.6992,60,0.392,0,100,270,-102.699
2,13.1,10,4,-112.896,14,-128.896,11,-122.896,9,27.1035,-85.8965,65,0.4,0,100,270,-128.896
3,13.2,11,4,-116.894,10,-129.894,9,-126.894,5,23.1064,-86.8936,70,0.4,0,100,90,-129.894
4,13.3,12,4,-112.057,9,-125.057,9,-122.057,4,27.9431,-82.0569,60,0.4,0,100,270,-125.057
5,13.4,13,4,-94.95,9,-107.95,9,-104.95,4,45.05,-64.95,65,0.4,0,100,90,-107.95
6,13.5,14,5,-111.351,9,-126.351,9,-121.351,4,28.6491,-83.3509,70,0.344,0,100,270,-126.351
7,13.6,15,4,-108.423,11,-124.423,11,-118.423,6,31.5769,-81.4231,60,0.4,0,100,90,-124.423
8,13.7,16,5,-111.882,7,-124.882,9,-121.882,2,28.1182,-81.8818,65,0.36,0,100,270,-124.882
6,13.7072,5,4,-87.9922,19,-99.9922,13,-97.9922,14,52.0078,-56.9922,70,0,0,100,0,-99.9922,SECONDARY_CHANGE
9,13.8,17,6,-105.099,13,-117.099,11,-115.099,8,34.901,-74.099,70,0.4,0,100,270,-117.099
10,13.9,18,5,-108.992,13,-120.992,11,-118.992,8,31.0083,-77.9917,60,0.296,0,100,270,-120.992
1,14,9,4,-110.398,8,-124.398,9,-120.398,3,29.6015,-81.3985,60,0.4,0,100,90,-124.398
