SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
4,37.3,12,1,-108.828,12,-125.828,11,-118.828,7,31.1715,-82.8285,20,0.4,0,100,270,-125.828
5,37.4,13,2,-103.634,6,-119.634,9,-113.634,1,36.3659,-76.6341,25,0.4,0,100,90,-119.634
6,37.5,14,3,-101.19,11,-116.19,11,-111.19,6,38.8101,-73.1899,30,0.4,0,100,270,-116.19
7,37.6,15,1,-106.72,5,-123.72,7,-116.72,0,33.28,-80.72,20,0.4,0,100,90,-123.72
8,37.7,16,3,-98.6132,6,-111.613,9,-108.613,1,41.3868,-68.6132,25,0.384,0,100,90,-111.613
9,37.8,17,3,-81.8341,11,-94.8341,11,-91.8341,6,58.1659,-51.8341,30,0.4,0,100,90,-94.8341
10,37.9,18,1,-94.6802,7,-107.68,9,-104.68,2,45.3198,-64.6802,20,0.408,0,100,90,-107.68
1,38,9,2,-111.608,13,-125.608,11,-121.608,8,28.3919,-82.6081,20,0.4,0,100,270,-125.608
2,38.1,10,1,-76.3919,24,-88.3919,15,-86.3919,19,63.6081,-45.3919,25,0.4,0,100,90,-88.3919
3,38.2,11,3,-112.702,9,-126.702,9,-122.702,4,27.2976,-83.7024,30,0.4,0,100,270,-126.702
4,38.3,12,1,-103.216,6,-118.216,9,-113.216,1,36.7837,-75.2163,20,0.4,0,100,90,-118.216
5,38.4,13,3,-99.5329,14,-113.533,11,-109.533,9,40.4671,-70.5329,25,0.36,0,100,90,-113.533
6,38.5,14,3,-84.9968,16,-98.9968,13,-94.9968,11,55.0032,-55.9968,30,0.408,0,100,270,-98.9968
7,38.6,15,1,-96.2924,14,-108.292,11,-106.292,9,43.7076,-65.2924,20,0.4,0,100,90,-108.292
8,38.7,16,3,-83.1516,14,-100.152,11,-93.1516,9,56.8484,-57.1516,25,0.4,0,100,90,-100.152
9,38.8,17,3,-94.8602,8,-108.86,9,-104.86,3,45.1398,-65.8602,30,0.4,0,100,90,-108.86
10,38.9,18,1,-73.7713,20,-86.7713,13,-83.7713,15,66.2287,-43.7713,20,0.4,0,100,90,-86.7713
1,39,9,1,-102.464,8,-115.464,9,-112.464,3,37.536,-72.464,20,0.36,0,100,270,-115.464
2,39.1,10,1,-98.6034,14,-115.603,11,-108.603,9,41.3966,-72.6034,25,0.4,0,100,90,-115.603
3,39.2,11,2,-96.3154,9,-109.315,9,-106.315,4,43.6846,-66.3154,30,0.376,0,100,270,-109.315
4,39.3,12,1,-97.5208,10,-113.521,9,-107.521,5,42.4792,-70.5208,20,0.4,0,100,90,-113.521
5,39.4,13,3,-81.958,13,-98.958,11,-91.958,8,58.042,-55.958,25,0.4,0,100,90,-98.958
6,39.5,14,3,-89.6877,15,-104.688,11,-99.6877,10,50.3123,-61.6877,30,0.392,0,100,270,-104.688
7,39.6,15,1,-83.9345,18,-96.9345,13,-93.9345,13,56.0655,-53.9345,20,0.408,0,100,90,-96.9345
8,39.7,16,3,-81.1516,13,-97.1516,11,-91.1516,8,58.8484,-54.1516,25,0.408,0,100,90,-97.1516
9,39.8,17,3,-105.924,6,-121.924,9,-115.924,1,34.0755,-78.9245,30,0.4,0,100,90,-121.924
10,39.9,18,1,-68.6081,20,-85.6081,13,-78.6081,15,71.3919,-42.6081,20,0.4,0,100,90,-85.6081
1,40,9,1,-91.6992,6,-106.699,9,-101.699,1,48.3008,-63.6992,20,0.4,0,100,90,-106.699
2,40.1,10,1,-106.815,5,-119.815,7,-116.815,0,33.1852,-76.8148,25,0.4,0,100,90,-119.815
3,40.2,11,2,-91.191,10,-105.191,9,-101.191,5,48.809,-62.191,30,0.4,0,100,90,-105.191
4,40.3,12,1,-89.3074,14,-105.307,11,-99.3074,9,50.6926,-62.3074,20,0.408,0,100,90,-105.307
5,40.4,13,3,-76.268,24,-91.268,15,-86.268,19,63.732,-48.268,25,0.4,0,100,90,-91.268
6,40.5,14,3,-102.857,13,-117.857,11,-112.857,8,37.1434,-74.8566,30,0.4,0,100,270,-117.857
7,40.6,15,1,-54.536,23,-66.536,15,-64.536,18,85.464,-23.536,20,0.4,0,100,90,-66.536
8,40.7,16,3,-91.6132,8,-106.613,9,-101.613,3,48.3868,-63.6132,25,0.392,0,100,90,-106.613
9,40.8,17,3,-100.512,6,-116.512,9,-110.512,1,39.4876,-73.5124,30,0.4,0,100,270,-116.512
10,40.9,18,1,-90.6505,6,-102.651,9,-100.651,1,49.3495,-59.6505,20,0.392,0,100,90,-102.651
1,41,9,1,-97.464,7,-113.464,9,-107.464,2,42.536,-70.464,20,0.4,0,100,90,-113.464
2,41.1,10,1,-103.187,13,-115.187,11,-113.187,8,36.8133,-72.1867,25,0.4,0,100,90,-115.187
3,41.2,11,2,-100.515,9,-114.515,9,-110.515,4,39.485,-71.515,30,0.4,0,100,90,-114.515
4,41.3,12,1,-59.0721,26,-75.0721,15,-69.0721,21,80.9279,-32.0721,20,0.4,0,100,90,-75.0721
5,41.4,13,3,-96.6388,12,-113.639,11,-106.639,7,43.3612,-70.6388,25,0.4,0,100,90,-113.639
6,41.5,14,3,-110.939,12,-123.939,11,-120.939,7,29.0608,-80.9392,30,0.4,0,100,270,-123.939
7,41.6,15,1,-89.9848,13,-104.985,11,-99.9848,8,50.0152,-61.9848,20,0.4,0,100,90,-104.985
8,41.7,16,3,-98.4764,13,-110.476,11,-108.476,8,41.5236,-67.4764,25,0.4,0,100,270,-110.476
9,41.8,17,3,-93.2958,11,-110.296,11,-103.296,6,46.7042,-67.2958,30,0.408,0,100,270,-110.296
10,41.9,18,1,-99.8434,8,-111.843,9,-109.843,3,40.1566,-68.8434,20,0.4,0,100,90,-111.843
1,42,9,1,-104.578,10,-116.578,9,-114.578,5,35.4216,-73.5784,20,0.4,0,100,90,-116.578
2,42.1,10,2,-102.403,14,-117.403,11,-112.403,9,37.5969,-74.4031,25,0.384,0,100,90,-117.403
3,42.2,11,2,-101.352,7,-117.352,9,-111.352,2,38.6483,-74.3517,30,0.4,0,100,90,-117.352
4,42.3,12,1,-83.1442,10,-96.1442,9,-93.1442,5,56.8558,-53.1442,20,0.392,0,100,90,-96.1442
5,42.4,13,3,-100.533,5,-112.533,7,-110.533,0,39.4671,-69.5329,25,0.4,0,100,270,-112.533
6,42.5,14,2,-101.19,8,-115.19,9,-111.19,3,38.8101,-72.1899,30,0.376,0,100,270,-115.19
7,42.6,15,1,-92.8137,13,-108.814,11,-102.814,8,47.1863,-65.8137,20,0.392,0,100,90,-108.814
8,42.7,16,3,-93.3205,12,-107.321,11,-103.321,7,46.6795,-64.3205,25,0.4,0,100,270,-107.321
9,42.8,17,3,-90.5668,5,-105.567,7,-100.567,0,49.4332,-62.5668,30,0.392,0,100,270,-105.567
10,42.9,18,1,-109.138,5,-126.138,7,-119.138,0,30.8622,-83.1378,20,0.408,0,100,90,-126.138
1,43,9,1,-110.398,13,-123.398,11,-120.398,8,29.6015,-80.3985,20,0.4,0,100,90,-123.398
2,43.1,10,2,-90.6539,12,-105.654,11,-100.654,7,49.3461,-62.6539,25,0.4,0,100,90,-105.654
3,43.2,11,2,-105.702,5,-122.702,7,-115.702,0,34.2976,-79.7024,30,0.376,0,100,90,-122.702
4,43.3,12,1,-96.4706,14,-111.471,11,-106.471,9,43.5294,-68.4706,20,0.4,0,100,90,-111.471
5,43.4,13,3,-84.958,14,-96.958,11,-94.958,9,55.042,-53.958,25,0.4,0,100,270,-96.958
6,43.5,14,2,-84.9968,12,-101.997,11,-94.9968,7,55.0032,-58.9968,30,0.4,0,100,270,-101.997
7,43.6,15,1,-98.7337,8,-114.734,9,-108.734,3,41.2663,-71.7337,20,0.4,0,100,90,-114.734
8,43.7,16,3,-80.4608,13,-97.4608,11,-90.4608,8,59.5392,-54.4608,25,0.408,0,100,270,-97.4608
9,43.8,17,3,-96.9483,9,-111.948,9,-106.948,4,43.0517,-68.9483,30,0.408,0,100,270,-111.948
10,43.9,18,1,-104.057,6,-121.057,9,-114.057,1,35.9431,-78.0569,20,0.384,0,100,90,-121.057
1,44,9,2,-92.0721,7,-106.072,9,-102.072,2,47.9279,-63.0721,20,0.384,0,100,90,-106.072
2,44.1,10,2,-83.3919,15,-99.3919,11,-93.3919,10,56.6081,-56.3919,25,0.4,0,100,90,-99.3919
3,44.2,11,3,-88.3154,16,-101.315,13,-98.3154,11,51.6846,-58.3154,30,0.392,0,100,90,-101.315
4,44.3,12,1,-105.187,9,-120.187,9,-115.187,4,34.8134,-77.1866,20,0.4,0,100,90,-120.187
