SessionID,ElapsedTime,Node,CellID,Level,SNR,Qual,CQI,SecondCell_RSRP,SecondCell_SNR,NRxLev1,NQual1,Speed,DL_bitrate,UL_bitrate,BANDWIDTH,Bearing,RSRQ
7,41.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
8,41.7,16,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
9,41.8,17,3,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
10,41.9,18,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
1,42,9,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
2,42.1,10,2,-80,10,-10,10,-90,5,60,33,25,0,0,100,90,-10
3,42.2,11,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,90,-10
4,42.3,12,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
5,42.4,13,3,-80,10,-10,10,-90,5,60,33,25,0,0,100,270,-10
6,42.5,14,2,-80,10,-10,10,-90,5,60,33,30,0,0,100,270,-10
7,42.6,15,1,-80,10,-10,10,-90,5,60,33,20,0,0,100,90,-10
