uuid,sim,time_sec,ue_id,from_cell,to_cell,is_correct
89a7f763-f5f1-4747-9d2b-d8fbb94bff46,sim015,72.4195,3,2,4,True
42ad75e6-37e1-4510-9969-68ace3f72e85,sim015,72.9698,13,7,6,False
5c0a594f-f0a3-421c-9799-d13e910f3acf,sim015,73.0155,8,6,7,True
24cc7f99-47f9-430c-9795-7462c4243d69,sim015,73.214,2,5,6,True
92c9bd51-eec6-4edb-b396-71dfcc0a7ddd,sim015,73.3638,12,6,5,True
b0c22584-2adf-412f-ba19-c278e60b92bd,sim015,73.5108,10,4,2,True
8539ab8c-ad84-49da-9338-4e27dfb39a74,sim015,74.818,4,7,8,True
81dad935-5975-4bfd-b016-c872e0322cf0,sim015,75.0665,16,5,6,True
64327e00-d93a-4639-a434-b559db94f895,sim015,75.4675,17,7,8,False
73896b33-f6a8-43a7-8efa-fb8846563f60,sim015,75.513,9,3,8,True
ab458773-c408-4d5a-b977-6c6d9b789d4a,sim015,75.804,6,5,2,True
5ee2d0ef-9124-45a7-87fb-832b8ea19c7e,sim015,76.0115,1,6,5,True
878c9ee2-e6cd-442c-8406-3cf2743ec69e,sim015,76.1178,19,4,5,True
cfdfb53f-28fc-4616-9221-5694b5daab7e,sim015,76.6548,18,5,2,True
8908f794-e287-4f3b-97f4-3d9f881490cb,sim015,76.7545,7,8,3,True
e87c2334-f4ea-4805-a1ed-97294d2e81fe,sim015,77.5078,3,4,2,True
727aa206-0337-49cb-b3e1-79f0bcddec3b,sim015,77.6645,15,8,2,True
5b28b0d0-8260-4db7-af8a-6be898c8f78d,sim015,77.9678,13,6,7,True
22f4acf2-9076-424c-a6b4-54d8e82e526c,sim015,78.1108,8,7,2,True
90bed0e6-dedc-41f3-877e-f0e5dafe13a3,sim015,78.5615,10,2,3,True
6054cd60-ace7-435c-89f1-ed1a900cca4f,sim015,78.6158,5,3,4,True
40d4a486-1459-4f79-96e7-337f74597665,sim015,79.218,11,8,2,True
0202a231-88a8-45a9-90d5-cf41a4691dba,sim015,79.8148,2,6,5,True
21ede19c-b398-43a5-8bd8-3768abbd59e2,sim015,79.9115,4,8,3,True
aa5b14da-e63c-4d41-a9d3-8d5ec74bf267,sim015,80.4155,17,8,7,True
2b9d0d22-c02a-4c4b-925e-8319ea0d9dc7,sim015,80.5585,9,8,7,True
dd0c1957-e122-40dd-8b6f-15956fa05f31,sim015,80.867,14,5,4,True
0b1f833b-d5c5-4d5b-aaaf-a1b14d3f3cf8,sim015,80.9135,6,2,6,True
25255d30-18f8-429c-a054-1b86f9449f6b,sim015,81.512,12,5,6,True
135b598c-3efa-47d3-b9b6-5c66733e9d49,sim015,81.512,19,5,6,True
f5d1faed-8a20-45b9-91c8-18986dedf22c,sim015,81.6163,16,6,2,True
0220114d-97df-4a8d-b01e-7de1ce3f4299,sim015,81.7588,7,3,4,True
05954a9a-24c0-4366-9b30-7c8fcdd14876,sim015,81.818,1,5,4,True
1f82cb5e-d162-4e2c-8fa0-6bde20ed0c6e,sim015,82.6098,15,2,5,True
e0e18277-0393-4188-bc67-aed7b17ddf36,sim015,83.2113,8,2,5,True
a5e771ae-7365-4dbf-a9d1-b42de1ea78d6,sim015,83.6615,10,3,8,True
f35761bc-297c-4b05-a4b7-07cb32abbd42,sim015,84.263,11,2,5,True
22b32090-13b9-4b9d-80a2-b0558a7a0484,sim015,84.4143,5,4,3,True
4a8e4ba5-5c24-4b13-9c26-b1a01ace6b89,sim015,85.0108,4,3,4,True
ff245fe1-9dac-45c9-9c27-0e22087164fa,sim015,85.1615,13,7,6,True
9ef22eb8-3b04-4044-84b2-ba6d9245f062,sim015,85.6165,9,7,6,True
a5d65944-27ab-46f6-a864-17b6e3dfbf97,sim015,85.8163,17,7,8,True
b8e294b1-3762-4512-92b9-73407ab13035,sim015,85.962,14,4,5,True
